ID,年度（平成）,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,回答,解説
27,29,19,"次のa ～ e の文は，公共測量における写真地図（数値空中写真を正射変換した正射投影画像（モザイクしたものを含む。））の作成について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 建物の倒れ込みの影響の少ない写真地図を作成するため，同一撮影コース内の隣接空中写真との重複度及び隣接コースの空中写真との重複度ができるだけ大きくなるように撮影計画を立てる。
b. 数値地形モデル（DTM）には，河川，湖沼などの陸水面や海水面などのすべての水部に，－9,999 m など現実に存在しない標高値を与える。
c. 森林などの植生が密生している地域において，地表面の標高計測には，自動標高抽出技術を用いた方法よりも等高線法が適している。
d. 数値地形モデル（DTM）を使用して正射投影画像を作成すると，すべての地物が正しい平面位置に投影される。
e. 数値地形モデル（DTM）の点検は，無作為に抽出した標高点について，デジタルステレオ図化機を用いて計測された標高値と比較する。",a，d,a，e,b，c,b，d,c，e,4,"写真地図に関する問題である。問題各文について考えると次のようになる。

a.	正しい。空中写真は中心投影であるため、写真主点から離れるほど倒れ込みが大きくなる。
問題のようにOLやSLをできるだけ大きくすれば、建物が主点に近くなり倒れ込みの影響は少なくなる。

b. 間違い。全ての水部には適用されない。大規模な湖沼水面や海水面に与えられる。

c.	正しい。地表面が隠されて（高層建築物の多い都市部や濃淡の少ない森林や裸地）いる場所では、自動標高抽出によるミスマッチングが起こりやすく、地上座標の距離間隔などを手掛かりに標高計測を行う等高線法などを用いて補う必要がある。

d. 間違い。正射投影画像の作成は、数値写真を標定し数値地形モデルを用いて行われるが、橋梁や高架道路など空中に架設されたものなどは正しい平面位置に投影されない。

e.	正しい。数値地形モデルから無作為に抽出された標高点について行われる。

よって、明かに間違っているのは４．のｂ，ｄである。"
28,29,20,"次の文は，公共測量における空中写真測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",撮影計画においては，すべてのモデルが撮影区域内に収まるように設定する。,GNSS / IMU 装置を用いた撮影では，IMU の累積誤差を考慮し，撮影コース長をおおむね15 分以内で撮影できる距離とする。,モデルの数値図化範囲は，原則としてパスポイントで囲まれた区域内とする。,細部数値図化は，線状対象物，建物，植生，等高線の順に行う。,数値地形図データ作成では，無人航空機（UAV）で一定の条件で撮影した空中写真も使用可能である。,1,"空中写真測量の一般事項に関する問題である。問題各文について考えると次のようになる。

1. 間違い。撮影区域を完全にカバーするため、撮影コースの始めと終わりの撮影区域外をそれぞれ最低１モデル、場合によっては数モデル確保する。

2.	正しい。問題文の通り。撮影前後に整数値バイアス決定及びIMUドリフト初期化のための飛行を行い、等速直線飛行は進入を含めて概ね15分以内とし、これを超える場合は適宜IMU初期化飛行を実施する。

3.	正しい。問題文の通り。

4.	正しい。脱落を防ぐために細部数値図化の順番は問題文の通りに行う。
また、必ずデータの位置、形状等をスクリーンモニターに表示し、データの取得漏れのないように留意しなければならない。

5.	正しい。無人航空機、いわゆるドローンを用いた空中写真測量である。

よって、明かに間違っているのは１.となる。"
29,29,23,"次の文は，数値地形モデル（以下「DTM」という。）の活用について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",DTM を用いて，標高値の範囲ごとに彩色し，地形の陰影をつけた陰影段彩図を作成することができる。,DTM を用いて，数値空中写真を中心投影から正射投影に変換し，正射投影画像（オルソ画像）を作成することができる。,DTM と基盤地図情報（建築物の外周線）を用いて，三次元建物データを作成することができる。,格子間隔の大きいDTM よりも，格子間隔の小さいDTM を用いた方がより詳細な地形の断面図を作成することができる。,公共測量において，航空レーザ測量により作成した5 m メッシュのDTM を用いて，地図情報レベル5000 の等高線（主曲線間隔5 m）を作成することができる。,3,"DTMに関する問題である。問題各文について考えると次のようになる。
※DTMとDEMは同意語として扱えばよい。

1.	正しい。DTMは地表面の標高データである。このため問題文のような陰影段彩図を作成することができる。

2.	正しい。空中写真を正射変換するためには、写真上の位置と地上の位置を対応させる必要がある。
これには、標高データであるDTMが用いられている。

3. 間違い。DTMは地表面の標高値を表す数値地形モデルであり、建物の外周線を用いても建物を三次元で表すことはできない。
建物を三次元で表すには、DSM（数値表層モデル）が必要となる。

4.	正しい。格子間隔が小さいと言う事は、地形のデータが詳細に得られていると言う事である。
当然、格子間隔の小さいほうが、詳細な断面図を描く事ができる。

5.	正しい。作業規程の準則によれば、等高線データは、地図情報レベル1000までは1ｍメッシュ、2500では1ｍ及び2ｍメッシュ、5000では1ｍ、2ｍ及び5ｍメッシュのグラウンドデータを用いて作成することができる。

　よって、明かに間違っているのは３.となる。"
30,29,26,"次の文は，公共測量における用地測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",境界杭が亡失していたことから，復元測量による復元杭の設置を行った。その際に関係権利者に対して事前説明を実施したが，現地での立会いは行わなかった。,境界点に既設の標識が設置されていたため，関係権利者の同意を得てそれを境界点とした。,境界測量のため現地において境界点を測定し，その座標値を求める作業を行うこととしたが，近くに基準点がなかったことから，新たに補助基準点を設置し，それに基づき放射法により実施した。,境界点間測量は，境界点の精度確認のために行う作業であり，隣接する境界点間の距離について，一定の割合で抽出した辺の距離を測定し，境界測量で求めた座標値から計算した距離との比較を行うものである。,面積計算は，境界測量の成果に基づき面積を算出して面積計算書を作成する作業であり，原則として座標法により行うものとする。,4,"用地測量の一般事項に関する問題である。問題各文について考えると次のようになる。

1.	正しい。復元測量において、復元杭の設置を行う場合は、権利関係者の事前説明を実施するが、原則として関係権利者の立会いは行わない。

2.	正しい。境界確認において、既設の標識が設置されている場合、問題文のように関係権利者の同意を得てそれを境界点とすることができる。

3.	正しい。境界測量は、近傍の４級基準点以上の基準点に基づき放射法等により行われる。
ただし、問題文のようにやむを得ない場合は、補助基準点を設置する事ができる。

4. 間違い。「一定の割合で抽出した辺」ではなく、「全辺」について現地で測定しなければならない。

5.	正しい。面積計算は、各筆等の取得用地及び残地の面積を算出し面積計算書を作成する作業である。
面積計算は原則として座標法によるものとする。"
31,29,28,"次の文は，公共測量における河川測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",距離標設置測量においては，距離標の位置を示すために点の記を作成する。,水準基標測量は，地形の状況などやむを得ない場合は，間接水準測量により行うことができる。,深浅測量においては，水深や測深位置などを測定し，横断面図データファイルを作成する。,汀線測量における最低水面は，原則として海上保安庁が公示する最低水面の高さから求める。,河川測量成果の品質評価は，製品仕様書が規定するデータ品質を満足しているか評価する。,2,"河川測量の一般事項に関する問題である。問題各文について考えると次のようになる

1.正しい。距離標設置測量とは、河心線の接線に対して直角方向の両岸の堤防法肩又は法面等に距離標を設置する作業であり、設置後は問題文のように点の記を作成する。

2.間違い。水準基標測量は、２級水準測量により行われる。
河川測量において間接水準測量が用いられるのは、定期縦断測量である。

3.正しい。深浅測量は水底部の地形を明らかにするため行われる。

4.正しい。汀線（最低水面と海浜との交線）測量とは汀線を定め、汀線図データファイルを作成する作業である。
問題文のように最低水面は海上保安庁が公示する最低水面の高さから求める。

5.正しい。品質評価は測量成果について、製品仕様書が規定するデータ品質を満足しているか評価する作業であり、作業機関は、品質評価手順に基づき品質評価を実施するものとする。


　よって、明かに間違っているのは２.となる。"
32,28,1,"次のa～eの文は，測量法（昭和24 年法律第188 号）に規定された事項について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a．「基本測量及び公共測量以外の測量」とは，基本測量及び公共測量の測量成果以外を使用して実施する測量をいう。
b．測量を実施しようとする者は，公共測量において測量標を設置した測量計画機関の承認を得ずに当該公共測量の測量標を使用することができる。
c．測量士又は測量士補となる資格を有する者は，測量士又は測量士補になろうとする場合においては，国土地理院の長に対してその資格を証する書類を添えて，測量士名簿又は測量士補名簿に登録の申請をしなければならない。
d．測量業者は，その営業所ごとに測量士又は測量士補を一人以上置かなければならない。
e．基本測量若しくは公共測量に従事する者又はその他の者で，基本測量又は公共測量の測量成果をして，真実に反するものたらしめる行為をした者は，懲役又は罰金に処する。",a，b，d,a，b，e,a，c，e,b，c，d,c，d，e,1,"測量法に関する問題である。問題各文について考えると次のようになる。

a.    間違い。「基本測量及び公共測量以外の測量」とは、基本測量又は公共測量の測量成果を使用して実施する基本測量及び公共測量以外の測量である（測量法 第6条）。

b.    間違い。公共測量の測量成果を使用して測量を実施しようとする者は、あらかじめ、当該測量成果を得た測量計画機関の承認を得なければならない（測量法 第44条）。

c.    正しい。問題文の通り。測量士又は測量士補となる資格を有する者は、測量士又は測量士補になろうとする場合においては、国土地理院の長に対してその資格を証する書類を添えて、測量士名簿又は測量士補名簿に登録の申請をしなければならない（測量法 第49条1）。測量士名簿及び測量士補名簿は、国土地理院に備える（測量法 第49条2）。

d.    間違い。測量士の設置に関する文書。測量士補ではなく、測量士を１人以上おく必要がある（測量法 第55条の13）。

e.    正しい。問題文の通り。罰則に関する文書である（測量法 第62条1）。


よって間違っている文書は、ａ，ｂ，ｄとなる。"
33,28,2,"次の文は，地理情報標準プロファイル（以下「JPGIS」という。）について述べたものである。
ア～ オに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

JPGIS は，地理情報に関する国際規格（ISO 規格）及び日本工業規格（JIS 規格）の中から，地理空間情報の概念　ア　を記述し　イ　するために必要となる基本的な要素を抽出し，　ウ　したもので，地球上の位置と直接的又は間接的に関連付けられた　エ　又は現象に関する情報処理技術のための実用標準である。
測量計画機関が公共測量を実施するときは，得ようとする測量成果の種類，内容，構造，品質等を示すための　オ　をJPGIS に準拠して定めなければならない。",オブジェクト　体系化　符号化　スキーマ　　　作業規程,オブジェクト　符号化　体系化　スキーマ　　　作業規程,オブジェクト　体系化　符号化　スキーマ　　　製品仕様書,スキーマ　　　符号化　体系化　オブジェクト　製品仕様書,スキーマ　　　体系化　符号化　オブジェクト　製品仕様書,4,"JPGISに関する問題である。ア～オに入る語句を考えると次のようになる。

JPGISは、地理情報に関する国際規格（ISO規格）及び日本工業規格（JIS規格）の中から、地理空間情報の概念 　スキーマ　 を記述し 　符号化　 するために必要となる基本的な要素を抽出し、 　体系化　 したもので、地球上の位置と直接的又は間接的に関連付けられた 　オブジェクト　 又は現象に関する情報処理技術のための実用標準である。
測量計画機関が公共測量を実施するときは、得ようとする測量成果の種類、内容、構造、品質等を示すための 　製品仕様書　 をJPGISに準拠して定めなければならない。

よって正しい語句の組合せは、４となる。"
34,28,3,"次のa～eの文は，測量作業機関が公共測量を行う場合に留意しなければならないことを述べたものである。
明らかに間違っているものは幾つあるか。次の中から選べ。

a．測量作業を円滑かつ確実に実行するため，適切な実施体制を整えた。
b．作業計画の立案を十分な実務経験のある測量士補に担当させ，工程管理及び精度管理は測量士に担当させた。
c．測量計画機関から検定を受けるように指定された測量成果について，検定に関する技術を有する第三者機関に検定を依頼した。
d．測量計画機関から貸与された測量成果を，他の測量計画機関から受注した作業においても有効活用するため，社内で適切に保管した。
e．企業にとって情報の保護は社会責務でもあることから，社内で情報セキュリティ講習会の定期的な実施やウイルス対策ソフトの導入など，情報漏えい防止の対策を講じた。",0（間違っているものは1 つもない。）,1 つ,2 つ,3 つ,4 つ,3,"測量作業機関が公共測量を行う場合の留意点に関する問題である。問題各文について考えると次のようになる。

a.    正しい。問題文の通り（作業規程の準則 第9条1）。

b.    間違い。作業計画の立案、工程管理及び精度管理を総括する者として、主任技術者を選任しなければならない（作業規程の準則 第9条2）。
主任技術者は、測量法第49条の規定に従い登録された測量士であり、かつ、高度な技術と十分な実務経験を有する者でなければならない（作業規程の準則 第9条3）。

c.    正しい。計画機関が指定する測量成果は、検定に関する技術を持つ第三者機関による検定を受けなければならない（作業規程の準則 第15条）。

d.    間違い。貸与された測量成果であるから、適切に使用し作業完了時までに返却しなければならない。

e.    正しい。計画・作業機関ともに、関係法令を遵守し、これらに関する社会的慣行を遵守する必要がある（作業規程の準則 第4条）。

　よって、明らかに間違っている文章は ｂ，ｄ の２つである。"
35,28,4,"次のa～eの文は，測量法（昭和24 年法律第188 号）における測量の基準について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a．測量における距離及び面積は，測量法で規定する回転楕円体の表面上の値で表示する。
b．測量における位置は，地理学的経緯度及び平均海面からの高さで表示する。また，地心直交座標で表示してもよい。
c．回転楕円体の短半径及び扁平率の数値は政令で定められており，過去にこれらの数値が改正されたことがある。
d．測量の原点は日本経緯度原点及び日本水準原点であり，これらの原点数値は政令で定められており，セミ・ダイナミック補正により定期的に改正されている。
e．日本水準原点の数値は政令で定められており，東京湾平均海面の高さを基準としている。",a，c,a，d,b，c,c，d,c，e,4,"測量法 第11条に関する問題である。問題各文について考えると次のようになる。

a.    正しい。問題文の通りである。

b.    正しい。場合により、直角座標及び平均海面からの高さ、極座標及び平均海面からの高さ又は地心直交座標で表示することができる。

c.    間違い。政令で定められているのは長半径及び扁平率である。

d.    間違い。測量の原点に関しては問題文の通りであるが、定期的に改正されることはない。
大きな変動（近年では東日本大震災）があった場合に改正される。

e.    正しい。問題文の通りである。

　よって明らかに間違っているのは、ｃ，ｄとなる。"
36,28,7,"次の文は，公共測量におけるGNSS 測量機を用いた基準点測量の観測方法について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",スタティック法は，複数の観測点にGNSS 測量機を整置して，基線ベクトルを求める観測方法である。,短縮スタティック法は，複数の観測点にGNSS 測量機を整置して，観測時間を短縮するために基線解析においてGNSS 衛星の組合せを多数作る処理を行い，基線ベクトルを求める観測方法である。,キネマティック法は，固定局と移動局で同時に単独測位を行い，それぞれの観測点で得た座標値の差から，基線ベクトルを求める観測方法である。,RTK 法は，固定局と移動局で同時にGNSS 衛星からの信号を受信し，固定局で取得した信号を，無線装置などを用いて移動局に転送し，移動局側において即時に基線解析を行い，基線ベクトルを求める観測方法である。,ネットワーク型RTK 法は，配信事業者で算出された補正データ又は面補正パラメータを，携帯電話などの通信回線を介して移動局で受信し，移動局側において即時に解析処理を行い，位置を求める観測方法である。,3,"GNSS測量機を用いた基準点測量の観測方法に関する問題である。問題各文について考えると次のようになる。


1.    正しい。問題文のように同時にGNSS衛星からの信号を受信し、基線解析を行って基線ベクトルを求める。


2.    正しい。問題文のように同時にGNSS衛星からの信号を受信して行う。
基線解析においてGNSS衛星の組合せを多数作るのが特徴である。
これにより観測時間の短縮が行われる。


3.    間違い。基準となる固定局と移動局で構成され、移動局を次々と観測点に移動して固定局と移動局の基線ベクトルを求める観測方法である。


4.    正しい。問題文の通りであるが、固定局と移動局の基線ベクトルを求めるには、直接観測法と間接観測法がある。


5.    正しい。問題文の通りである。配信事業者からのデータを受信すると同時にGNSS衛星からの信号を受信し、移動局側で解析処理を行って基線ベクトルを求める。
その後、複数の観測点に次々と移動して移動局の位置が即時に求められる。


　よって、明らかに間違っているのは、３となる。"
37,28,8,"次の文は，公共測量におけるGNSS 測量機を用いた基準点測量を行う際のPCV 補正について述べたものである。
ア～ エに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

GNSS 衛星の電波をGNSS アンテナが受信する際，電波の入射角が変化することにより，受信する位置（位相中心）が変化する。
この変化を「PCV（Phase Center Variation）」と呼ぶ。
アンテナの機種によってPCV による影響が異なることから，位相中心をアンテナ　ア　で観測した状態に補正する必要がある。
　イ　モデルは，アンテナの機種によって異なるアンテナオフセットとPCV の値を，理想的な観測状態で算出し，定数の組合せとしてまとめたものである。
スタティック法及び短縮スタティック法において　ウ　を実施する場合，原則としてPCV 補正を行う必要があり， 　エ　の際に， 　イ　モデルを適用して補正を行うことで，より高精度な解が得られる。",底面　アンテナ位相特性　1～4 級基準点測量　基線解析,底面　アンテナ位相特性　3～4 級基準点測量　網平均計算,底面　アンテナ定数　　　1～4 級基準点測量　網平均計算,重心　アンテナ位相特性　3～4 級基準点測量　網平均計算,重心　アンテナ定数　　　1～2 級基準点測量　基線解析,1,"GNSS測量における，PCV補正に関する問題である。ア～エに入る適当な語句を当てはめると，次のようになる。
 

　GNSS衛星の電波をGNSSアンテナが受信する際、電波の入射角が変化することにより、受信する位置（位相中心）が変化する。
　この変化を｢PCV(Phase Center Variation)｣と呼ぶ。
　アンテナの機種によってPCVによる影響が異なることから、位相中心をアンテナ 　底面　 で観測した状態に補正する必要がある。 
　　アンテナ位相特性　 モデルは、アンテナの機種によって異なるアンテナオフセットとPCVの値を、理想的な観測状態で算出し、定数の組合せとしてまとめたものである。
　スタティック法及び短縮スタティック法において 　1～4級基準点測量　 を実施する場合、原則としてPCV補正を行う必要があり、 　基線解析　 の際に、　アンテナ位相特性　 モデルを適用して補正を行うことで、より高精度な解が得られる。

よって、正しい語句の組合せは１となる。"
38,28,9,"次の文は，公共測量における水準測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",渡海（河）水準測量で両岸から同時観測を行うことにより，気差による影響を軽減することができる。,正規正標高補正量（楕円補正量）は，観測点の経度と標高により求めることができる。,地盤沈下調査を目的とする水準測量では，変動量を基準日に統一するため，変動量補正計算を行う。,水準点を設置する場合は，後続作業における利用などを考え，破損，亡失，沈下などのおそれのない場所を選定する。,永久標識を設置した水準点の水平位置は，ネットワーク型RTK 法を用いて求めることができる。,2,"公共測量における水準測量全般に関する問題である。問題各文について考えると次のようになる。

1.    正しい。渡海水準測量で同時観測を行うのは経緯儀法と俯仰ネジ法である。
ここではTSを用いた観測と考えるのが正しく、同時刻の同時観測によりかつ正反の観測値の平均を取ることにより気差と球差（両差）が消去できる。

2.    間違い。１級水準測量では、正規正標高補正と正標高補正（重力の実測値）を用いることができる。
正規正標高補正（楕円補正）量を求めるためには、水準路線の出発点と終末点の緯度と水準路線の平均標高が必要となる。

3.    正しい。旧観測月日と新観測月日を用いて統一する月日に対する変動量を求める。

4.    正しい。問題文の通りである。

5.    正しい。単点観測法等により座標を求めることができる。
単点観測法では、ネットワーク型RTK法により単独で測点の座標を求める。 

　よって、明らかに間違っているのは２となる。"
39,28,10,"次のa～eの文は，水準測量における誤差への対策について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a．レベルの鉛直軸の傾きにより生じる誤差への対策は，2 本の標尺を結ぶ線上にレベルを置き，進行方向に対し三脚の特定の2 本を常に視準線に平行に整置し，そのうちの特定の1 本を常に同一標尺に向けることである。
b．地球の曲率の影響によって生じる誤差への対策は，レベルと前視標尺及び後視標尺との距離を等しくすることである。
c．標尺の零目盛が正しくないために生じる誤差への対策は，水準点から次の水準点までのレベルの整置回数を偶数回にすることである。
d．レベルの視準線が水平でないために生じる誤差への対策は，レベルと前視標尺及び後視標尺との距離を等しくすることである。
e．標尺が鉛直に立てられていないために生じる誤差への対策は，標尺を前後に傾けて読定値が最小となるところを読むことや，標尺付属水準器を使用して標尺を鉛直に立てることである。",a,b，c,d，e,e,間違っているものはない,5,"水準測量の誤差に関する問題である。問題各文について考えると次のようになる。

a.	正しい。鉛直軸誤差に関する文章である。
b.	正しい。球差に関する文章である。
c.	正しい。零目盛誤差に関する文章である。
その他に「出発点に立てた標尺を終点に立てる。」などの言い回しがある。
d.	正しい。視準線誤差に関する文章である。
e. 正しい。標尺の傾きによる誤差に関する文章である。
標尺を前後に傾けて最小の読定値を読む作業をウェービングともいう。

　よって、間違っている文章は一つもない。"
40,28,11,"次の文は，公共測量におけるGNSS 測量機を用いた標高の測量（以下「GNSS 水準測量」という。）について述べたものである。
ア～ エに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

水準点は主要国道沿いに設置されていることが多いため，作業地域の近傍に既設の水準点がない場合，遠方の水準点から，多大な時間と経費をかけて水準測量を行う必要があった。
GPS，　ア　システム，GLONASS などの衛星測位システムの充実や高精度化されたジオイド・モデル「日本のジオイド　イ　」の整備により， 　ウ　によるGNSS 観測で効率的に標高の測量が行えるようになった。
GNSS 水準測量で使用できる既知点の種類は，一～二等水準点，電子基準点（水準測量により標高が取り付けられた点に限る）及び1～2 級水準点である。
また，GNSS 水準測量により，3 級水準点を設置することができる。
なお，電波の　エ　が高さ方向の精度に影響することから，観測時の気象条件に十分注意することが必要である。",GNSS連続観測　2011　スタティック法　　大気遅延,GNSS連続観測　2000　キネマティック法　電離層遅延,準天頂衛星　　2000　スタティック法　　大気遅延,準天頂衛星　　2000　キネマティック法　電離層遅延,準天頂衛星　　2011　スタティック法　　大気遅延,5,"GNSS測量による標高の測量マニュアル（H29.2）に関する問題である。問題文に正しい語句を当てはめると次のようになる。

水準点は主要国道沿いに設置されていることが多いため、作業地域の近傍に既設の水準点がない場合、遠方の水準点から、多大な時間と経費をかけて水準測量を行う必要があった。
GPS、 　準天頂衛星　 システム、GLONASSなどの衛星測位システムの充実や高精度化されたジオイド・モデル｢日本のジオイド 　2011　 ｣の整備により、 　スタティック法　 によるGNSS観測で効率的に標高の測量が行えるようになった。
　GNSS水準測量で使用できる既知点の種類は、一 ～ 二等水準点、電子基準点(水準測量により標高が取り付けられた点に限る)及び１～２級水準点である。
また、GNSS水準測量により、３級水準点を設置することができる。
なお、電波の 　大気遅延　 が高き方向の精度に影響することから、観測時の気象条件に十分注意することが必要である。

　よって、正しい語句の組合せは５となる。"
41,28,14,"次の文は，車載写真レーザ測量（移動計測車両による測量）について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",車両を道路で走行させながら道路及びその周辺の地形，地物などの三次元位置情報を計測する技術である。,道路及びその周辺の大縮尺の数値地形図データを作成する場合，トータルステーションなどを用いた現地測量に比べて，広範囲を短時間でデータ取得できる。,車載写真レーザ測量システムは，GNSS 測量機などの車両の位置と姿勢のデータを取得する装置や，レーザ測距装置などの数値図化用のデータ取得装置などから構成される。,道路の高架下などの上空視界が不良な場所では，標定点による調整処理を行っても数値地形図データを作成することができない。,取得した三次元点群データなどから，構造物の形状の三次元モデルを作成することができる。,4,"車載レーザ測量（ＭＭＳ）に関する問題である。問題各文について考えると次のようになる。

1.    正しい。車載写真レーザ測量の定義である。

2.    正しい。車載写真レーザ測量は、走行しながら地形、地物の三次元データの取得が可能であるため、現地測量の時間を大幅に短縮できる。

3.    正しい。車載写真レーザ測量システムの構成である。

4.    間違い。GNSS衛星からの電波が受信できない場所では、標定点（調整点）との調整処理を行ってデータを得ることができる。

5.    正しい。得られる点（点群）データは、平面位置と高さが取得されている。このため、問題文のように三次元モデルを作成することができる。

　よって、明らかに間違っているものは４となる。"
42,28,15,"次のa～eの文は，公共測量における地形測量のうち，トータルステーション（以下「TS」という。）又はGNSS 測量機を用いた現地測量について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a．現地測量で使用する基準点は，4 級基準点，簡易水準点又はこれらと同等以上の精度を有する基準点とする。
b．現地測量は写真測量に比べて精度が低いため，作成する数値地形図データの地図情報レベルが1000 以下のときは現地測量を用いるべきではない。
c．TS を用いた現地測量で，基準点からの見通しが悪く細部測量を行うことが困難な場合は，GNSS 測量機を用いてTS 点を設置することができる。
d．ネットワーク型RTK法による現地測量を行う場合は，GNSS測量機1台で観測作業が行える。
e．ネットワーク型RTK 法により，複数の観測点を次々と移動して細部測量を実施すると，誤差が累積する。",a，c,a，d,b，d,b，e,c，e,4,"現地測量に関する問題である。問題各文について考えると次のようになる。

a.    正しい。問題文の通り現地測量の実施において基づく基準点の精度である。

b.    間違い。現地測量により作成する数値地形図データの地図情報レベルは、原則として1000以下とし250、500及び1000を標準とする

c.    正しい。TS点は、TS又はGNSS測量機を用いたキネマティック法又はRTK法、ネットワーク型RTK法により行われる。

d.    正しい。ネットワーク型RTK法では、移動局の受信機１台で観測作業が行える。

e.    間違い。ネットワーク型RTK法は１台の受信機（移動局）の位置を周囲の電子基準点の観測データから得られる補正情報を用いて決定する技術である。
観測点ごとに補正情報を用いて決定するため、誤差の累積はない。

　よって明らかに間違っているのは、ｂとｅになる。"
43,28,18,"次の文は，公共測量における同時調整について述べたものである。
ア～ エに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

同時調整とは，デジタルステレオ図化機を用いて，標定点成果及び撮影時に取得した　ア　の解析計算で得られた　イ　の観測データを統合して調整計算を行い，各写真の　イ　の成果値，パスポイント，タイポイント等の水平位置及び標高を決定する作業である。
調整計算は，原則として作業地区全域を一つのブロックとして　ウ　により行うものとし，標定点は， 　エ　に配置することを標準とする。",GNSS/IMU　　　　　　外部標定要素　多項式法　　各コースの両端付近,デジタル航空カメラ　外部標定要素　バンドル法　各コースの両端付近,GNSS/IMU　　　　　　内部標定要素　多項式法　　ブロックの四隅と中央部付近,デジタル航空カメラ　内部標定要素　バンドル法　各コースの両端付近,GNSS/IMU　　　　　　外部標定要素　バンドル法　ブロックの四隅と中央部付近,5,"同時調整に関する問題である。問題文に適当な語句を入れると次のようになる。

同時調整とは、デジタルステレオ図化機を用いて、標定点成果及び撮影時に取得した 　GNSS/IMU　 の解析計算で得られた 　外部標定要素　 の観測データを統合して調整計算を行い、各写真の 　外部標定要素　 の成果値、パスポイント、タイポイント等の水平位置及び標高を決定する作業である。
調整計算は、原則として作業地区全域を一つのブロックとして 　バンドル法　 により行うものとし、標定点は、 ブロックの四隅と中央部付近　 に配置することを標準とする。

　よって、最も適当な語句の組合せは５となる。"
44,28,19,"次のa～eの文は，公共測量における写真地図（数値写真を正射変換した正射投影画像（モザイクしたものを含む。））の作成について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a．高高度で撮影した空中写真と低高度で撮影した空中写真の撮影範囲が同一の場合，高高度で撮影した方が，建物などの倒れ込みの少ない空中写真を撮影することができる。
b．高層建物が密集している都市部で，建物の倒れ込みの影響が少ない写真地図を作成するために，同一撮影コース内の隣接空中写真との重複度及び隣接撮影コースの空中写真との重複度ができるだけ小さくなるように，撮影計画を立てた。
c．森林などの植生が密生している地域において，地表面の標高計測を行うためには，自動標高抽出技術を用いた方法よりも等高線法が適している。
d．数値地形モデルを作成する際に，地形を忠実に表したデータを作成するため，段差の大きい人工斜面などの地形が急激に変化する場所では，これらの斜面の傾斜方向と平行にブレークラインを取得した。
e．作成した標高データをデジタルステレオ図化機でステレオモデルと重ねて表示したら，著しく地表面と異なる点があったため，デジタルステレオ図化機を用いて標高データを修正した。",a，b,a，c,b，d,c，e,d，e,3,"写真地図作成に関する問題である。問題各文について考えると次のようになる。

a.    正しい。問題文の通りである。撮影範囲を同一とすると撮影高度が低いほど写真サイズは大きくなる。

b.    間違い。ＯＬやＳＬを小さくすると建物が主点から遠くなり、倒れこみが大きくなる。

c.    正しい。地表面が不明のため、地上座標の距離間隔などを手掛かりに標高計測を行う等高線法のほうが適している。

d.    間違い。ブレークラインは、斜面傾斜方向と直角に入れる。

e.    正しい。数値地形モデルの編集作業のことである。デジタルステレオ図化機を用いて行われる。

　よって、明らかに間違っているのは、３のｂ，ｄである。"
